"lead\month","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
0,1,1,1,1,1,1,1,1,1,1,1,1
1,0.977365698518493,0.9487147318714482,0.9083628598171581,0.8942883578277775,0.8946524554047378,0.9241179475506272,0.9545152877002849,0.9724231829636438,0.9720005071266457,0.9828138883386436,0.9850764181637003,0.9738335275849876
2,0.9080190133363168,0.786168445945349,0.7147659847965937,0.7142076825927889,0.7237202898001721,0.8443259716557601,0.903823297029047,0.9419047335675984,0.9461503005298374,0.9647935341957464,0.9422579040610334,0.9375715221736127
3,0.7280256643053981,0.5797653640075933,0.4961454813301176,0.5253004464000401,0.6471690804471503,0.8021509284317812,0.886761414192902,0.9226169455907155,0.9312080477008863,0.9249929056891163,0.9046606844398857,0.8691925143374157
4,0.4996419207327255,0.3345151209117552,0.2898735855136333,0.4393202201738542,0.6226441407278295,0.7894824901791268,0.8779431862679772,0.9036211781674616,0.8974550006498562,0.8855232486273955,0.8442556477935245,0.6804710694647118
5,0.25902093183947533,0.11499191087243889,0.19161683830394877,0.4119808641779914,0.5935018460150858,0.7892386210991269,0.8648237440245413,0.8762096014456137,0.8599470041441376,0.8297875318862691,0.6571762326577522,0.41498589139492625
6,0.033359292351789555,0.01690684597647621,0.15867012081706458,0.3677124260004432,0.5862191215629763,0.7855326975385427,0.8368811325818575,0.8420134790155499,0.7852614126430904,0.6512089061459059,0.38772840860018215,0.19662410946897016
7,-0.06114209971783676,-0.020295380535951632,0.12557476646444832,0.35336118226448976,0.5871696932196029,0.7589533222022231,0.8075315787984099,0.7611970853561241,0.593485709827075,0.3911566802166317,0.18373153594269048,-0.010295802330762308
8,-0.09113928584837985,-0.040618570324968295,0.10706388457822284,0.3675138585182068,0.5667185070984915,0.7393527717457462,0.7294604449577443,0.5724801529991984,0.3341786106560565,0.1818912701848901,-0.010677779495504478,-0.10330117723112478
9,-0.11187914389309672,-0.04898918517255549,0.12201704375161643,0.34864753006575633,0.5659602107502268,0.6649053311762969,0.5503377215815816,0.30213287162386426,0.1119939063183092,-0.004590888735974193,-0.09872802817812497,-0.13097524144571687
10,-0.11186427070963327,-0.02838660819871898,0.11192555307097071,0.3646466595184302,0.4960651178717307,0.5226647545653095,0.2897456490006662,0.09602961760725125,-0.0714693651343298,-0.08713425513096437,-0.11884344363131566,-0.14392803936068266
11,-0.08786256229116846,-0.032891100579626936,0.12773235897858728,0.3166719724418737,0.40231691922978047,0.2821292031760045,0.08407162137502941,-0.07043222128238276,-0.14320470598057689,-0.10159428737814359,-0.12849129924534136,-0.1441592661842583
12,-0.09025655500860236,-0.007849235165344979,0.09057534999743148,0.2577158836311029,0.21584271034224875,0.0782755710331787,-0.08189102219358817,-0.13947362099136185,-0.15082255156523056,-0.1122872307468702,-0.1279282759059982,-0.12798180343551
13,-0.06222107758844148,-0.03740660775473847,0.037911655377923376,0.15484826978121827,0.020727672320091664,-0.09739901517409696,-0.1456259454875549,-0.16011325577346247,-0.15828518558748547,-0.10939054126474494,-0.1163844743555176,-0.1406428418369312
14,-0.08283401386989475,-0.0756367869091749,-0.038275859024465064,-0.014349307067539528,-0.15624808901111062,-0.16583814814270686,-0.1734065959036318,-0.1654287427043918,-0.15572357353833102,-0.10061939271347735,-0.13869837485311517,-0.11453041543068966
15,-0.10219400677633919,-0.12791202681281258,-0.1435156771453019,-0.1623340489630118,-0.21707842322874268,-0.199961039519833,-0.17531968976402706,-0.1627439283141766,-0.15094132431331148,-0.1363378250579446,-0.11705152525677999,-0.10413172286757975
