"season","year","mid_month","sst_c","sst_anom"
"JJA",2018,7,27.38,0.14
"JAS",2018,8,27.18,0.27
"ASO",2018,9,27.25,0.53
"SON",2018,10,27.47,0.81
"OND",2018,11,27.57,0.97
"NDJ",2018,12,27.43,0.92
"DJF",2019,1,27.39,0.89
"JFM",2019,2,27.59,0.86
"FMA",2019,3,28.01,0.84
"MAM",2019,4,28.34,0.77
"AMJ",2019,5,28.37,0.64
"MJJ",2019,6,28.1,0.52
"JJA",2019,7,27.57,0.33
"JAS",2019,8,27.1,0.19
"ASO",2019,9,26.95,0.23
"SON",2019,10,27.06,0.39
"OND",2019,11,27.18,0.58
"NDJ",2019,12,27.17,0.66
"DJF",2020,1,27.14,0.64
"JFM",2020,2,27.35,0.63
"FMA",2020,3,27.7,0.53
"MAM",2020,4,27.87,0.3
"AMJ",2020,5,27.75,0.01
"MJJ",2020,6,27.35,-0.23
"JJA",2020,7,26.88,-0.36
"JAS",2020,8,26.38,-0.53
"ASO",2020,9,25.87,-0.85
"SON",2020,10,25.54,-1.12
"OND",2020,11,25.4,-1.2
"NDJ",2020,12,25.43,-1.08
"DJF",2021,1,25.59,-0.91
"JFM",2021,2,25.94,-0.79
"FMA",2021,3,26.46,-0.71
"MAM",2021,4,27.03,-0.55
"AMJ",2021,5,27.35,-0.39
"MJJ",2021,6,27.28,-0.3
"JJA",2021,7,26.89,-0.35
"JAS",2021,8,26.46,-0.45
"ASO",2021,9,26.09,-0.63
"SON",2021,10,25.9,-0.76
"OND",2021,11,25.69,-0.91
"NDJ",2021,12,25.63,-0.87
"DJF",2022,1,25.67,-0.82
"JFM",2022,2,25.94,-0.79
"FMA",2022,3,26.31,-0.86
"MAM",2022,4,26.62,-0.95
"AMJ",2022,5,26.84,-0.9
"MJJ",2022,6,26.8,-0.78
"JJA",2022,7,26.48,-0.76
"JAS",2022,8,26.04,-0.87
"ASO",2022,9,25.75,-0.97
"SON",2022,10,25.72,-0.94
"OND",2022,11,25.76,-0.85
"NDJ",2022,12,25.79,-0.71
"DJF",2023,1,25.96,-0.54
"JFM",2023,2,26.44,-0.29
"FMA",2023,3,27.15,-0.02
"MAM",2023,4,27.85,0.27
"AMJ",2023,5,28.31,0.57
"MJJ",2023,6,28.42,0.84
"JJA",2023,7,28.36,1.12
"JAS",2023,8,28.28,1.37
"ASO",2023,9,28.32,1.6
"SON",2023,10,28.49,1.83
"OND",2023,11,28.6,1.99
"NDJ",2023,12,28.57,2.06
"DJF",2024,1,28.42,1.92
"JFM",2024,2,28.35,1.62
"FMA",2024,3,28.43,1.26
"MAM",2024,4,28.39,0.82
"AMJ",2024,5,28.22,0.49
"MJJ",2024,6,27.8,0.22
"JJA",2024,7,27.33,0.08
"JAS",2024,8,26.85,-0.07
"ASO",2024,9,26.55,-0.17
"SON",2024,10,26.46,-0.21
"OND",2024,11,26.3,-0.3
"NDJ",2024,12,26.09,-0.42
"DJF",2025,1,26.05,-0.45
"JFM",2025,2,26.48,-0.24
"FMA",2025,3,27.11,-0.06
"MAM",2025,4,27.6,0.02
"AMJ",2025,5,27.72,-0.02
"MJJ",2025,6,27.54,-0.04
"JJA",2025,7,27.1,-0.14
"JAS",2025,8,26.63,-0.28
"ASO",2025,9,26.32,-0.4
"SON",2025,10,26.16,-0.51
"OND",2025,11,26.05,-0.55
"NDJ",2025,12,25.97,-0.54
"DJF",2026,1,26.13,-0.37
"JFM",2026,2,26.58,-0.15
"FMA",2026,3,27.28,0.11
