year,month,date,sst_anom
2025,7,2025-07-15,-0.1400
2025,8,2025-08-15,-0.3600
2025,9,2025-09-15,-0.4700
2025,10,2025-10-15,-0.5000
2025,11,2025-11-15,-0.7000
2025,12,2025-12-15,-0.6700
2026,1,2026-01-15,-0.5800
2026,2,2026-02-15,-0.2700
2026,3,2026-03-15,-0.0100
2026,4,2026-04-15,0.2300
